company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
Beer Peddlers,3, 'Wed',2, 'Tue',1, 'Fri'
Bridget Foy's,1, 'Thu',,,,
Bourbon & Branch,2, 'Tue',,,,
South Mountain Bev ALLENTOWN,3, 'Tue',2, 'Wed',,
Valley Beverage,6, 'Mon',5, 'Tue',4, 'Wed'
Deon Beverage BRISTOL,2, 'Wed',,,,
Flourtown Beverage,5, 'Wed',4, 'Mon',2, 'Tue'
Yardly Inn,1, 'Sat',,,,
Brewers Outlet - Philadelphia ,24, 'Fri',13, 'Thu',7, 'Wed'
MAIDEN CREEK DISTRIB,3, 'Fri',2, 'Thu',1, 'Wed'
Ridge Pike Beverage,4, 'Mon',3, 'Fri',1, 'Wed'
Railroad Street Bar and Grill,6, 'Wed',5, 'Thu',4, 'Fri'
Lorraine,2, 'Wed',,,,
Candlewick Tavern,3, 'Mon',1, 'Wed',,
RINGERS ROOST,1, 'Tue',,,,
Thorndale Beverage,2, 'Mon',,,,
Trappe Beer & Soda,9, 'Mon',2, 'Sat',1, 'Tue'
West Reading Tavern,7, 'Tue',4, 'Mon',3, 'Wed'
SUNSHINE BEVERAGE,2, 'Wed',,,,
The Beer Shoppe,45, 'Mon',12, 'Fri',8, 'Sat'
Brew Master ,3, 'Sat',2, 'Fri',,
Fingers Wings and Other Things,18, 'Fri',12, 'Mon',3, 'Tue'
Torre,2, 'Tue',,,,
GIANT DOYLESTOWN,1, 'Wed',,,,
Sixty-One Brew-Thru,8, 'Thu',7, 'Fri',4, 'Wed'
Pappous Pizza Pub,1, 'Wed',,,,
